Zip Code,City,County,Population
27610,Raleigh,Wake County,79924.0
28269,Charlotte,Mecklenburg County,77248.0
28277,Charlotte,Mecklenburg County,72132.0
28027,Concord,Cabarrus County,68716.0
27587,Wake Forest,Wake County,68491.0
27406,Greensboro,Guilford County,63199.0
28215,Charlotte,Mecklenburg County,62543.0
28078,Huntersville,Mecklenburg County,61043.0
28173,Waxhaw,Union County,59559.0
27858,Greenville,Pitt County,59182.0
28314,Fayetteville,Cumberland County,58827.0
28227,Charlotte,Mecklenburg County,57336.0
27834,Greenville,Pitt County,57258.0
27519,Cary,Wake County,56482.0
27410,Greensboro,Guilford County,55707.0
27284,Kernersville,Forsyth County,55489.0
27616,Raleigh,Wake County,55128.0
28655,Morganton,Burke County,55009.0
27603,Raleigh,Wake County,54457.0
28025,Concord,Cabarrus County,54425.0
27713,Durham,Durham County,54348.0
28110,Monroe,Union County,53733.0
27703,Durham,Durham County,53733.0
27407,Greensboro,Guilford County,51900.0
27265,High Point,Guilford County,51477.0
27707,Durham,Durham County,51414.0
28601,Hickory,Catawba County,51401.0
27529,Garner,Wake County,50683.0
28216,Charlotte,Mecklenburg County,49849.0
27705,Durham,Durham County,49508.0
28540,Jacksonville,Onslow County,49144.0
27405,Greensboro,Guilford County,48879.0
28205,Charlotte,Mecklenburg County,48798.0
27106,Winston Salem,Forsyth County,48709.0
27526,Fuquay Varina,Wake County,48581.0
27604,Raleigh,Wake County,48494.0
28210,Charlotte,Mecklenburg County,48333.0
27107,Winston Salem,Forsyth County,48000.0
28212,Charlotte,Mecklenburg County,47903.0
27606,Raleigh,Wake County,47478.0
28546,Jacksonville,Onslow County,46435.0
28645,Lenoir,Caldwell County,46232.0
28105,Matthews,Mecklenburg County,46180.0
27360,Thomasville,Davidson County,45974.0
27513,Cary,Wake County,45542.0
28376,Raeford,Hoke County,44967.0
27615,Raleigh,Wake County,43950.0
28806,Asheville,Buncombe County,43597.0
28262,Charlotte,Mecklenburg County,43209.0
28213,Charlotte,Mecklenburg County,43099.0
27516,Chapel Hill,Orange County,43036.0
28306,Fayetteville,Cumberland County,42973.0
28214,Charlotte,Mecklenburg County,42412.0
27520,Clayton,Johnston County,42387.0
27215,Burlington,Alamance County,42331.0
27613,Raleigh,Wake County,42324.0
28403,Wilmington,New Hanover County,41525.0
27502,Apex,Wake County,41455.0
28273,Charlotte,Mecklenburg County,41170.0
28117,Mooresville,Iredell County,40855.0
28092,Lincolnton,Lincoln County,40517.0
27127,Winston Salem,Forsyth County,40511.0
27704,Durham,Durham County,40392.0
28208,Charlotte,Mecklenburg County,40284.0
27105,Winston Salem,Forsyth County,40134.0
27330,Sanford,Lee County,40121.0
27612,Raleigh,Wake County,39989.0
28226,Charlotte,Mecklenburg County,39796.0
27540,Holly Springs,Wake County,39675.0
28625,Statesville,Iredell County,39559.0
27909,Elizabeth City,Pasquotank County,39551.0
27893,Wilson,Wilson County,39531.0
27292,Lexington,Davidson County,39360.0
28412,Wilmington,New Hanover County,39106.0
28411,Wilmington,New Hanover County,39019.0
27320,Reidsville,Rockingham County,38997.0
27530,Goldsboro,Wayne County,38940.0
28358,Lumberton,Robeson County,38858.0
